stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"70022","70022",22nd Street Caltrain,37.757583,-122.392404,"59853","","","0","","America/Los_Angeles","2"
"70021","70021",22nd Street Caltrain,37.757599,-122.39188,"59853","","","0","","America/Los_Angeles","2"
"70151","70151",Atherton Caltrain,37.464645,-122.19779,"59852","","","0","","America/Los_Angeles","2"
"70152","70152",Atherton Caltrain,37.464584,-122.197869,"59852","","","0","","America/Los_Angeles","2"
"70031","70031",Bayshore Caltrain,37.709537,-122.401586,"59853","","","0","","America/Los_Angeles","1"
"70032","70032",Bayshore Caltrain,37.709544,-122.40198,"59853","","","0","","America/Los_Angeles","1"
"70121","70121",Belmont Caltrain,37.52089,-122.275738,"59854","","","0","","America/Los_Angeles","1"
"70122","70122",Belmont Caltrain,37.520844,-122.275816,"59854","","","0","","America/Los_Angeles","1"
"70292","70292",Blossom Hill Caltrain,37.252379,-121.797683,"59856","","","0","","America/Los_Angeles","1"
"70291","70291",Blossom Hill Caltrain,37.252422,-121.797643,"59856","","","0","","America/Los_Angeles","1"
"70071","70071",Broadway Caltrain,37.58764,-122.36265,"59854","","","0","","America/Los_Angeles","2"
"70072","70072",Broadway Caltrain,37.587552,-122.362708,"59854","","","0","","America/Los_Angeles","2"
"70082","70082",Burlingame Caltrain,37.580186,-122.345075,"59854","","","0","","America/Los_Angeles","1"
"70081","70081",Burlingame Caltrain,37.580197,-122.3449,"59854","","","0","","America/Los_Angeles","1"
"70191","70191",California Ave Caltrain,37.429365,-122.141927,"59852","","","0","","America/Los_Angeles","1"
"70192","70192",California Ave Caltrain,37.429333,-122.141978,"59852","","","0","","America/Los_Angeles","1"
"70282","70282",Capitol Caltrain,37.284062,-121.842037,"59856","","","0","","America/Los_Angeles","1"
"70281","70281",Capitol Caltrain,37.284102,-121.841955,"59856","","","0","","America/Los_Angeles","1"
"70252","70252",College Park Caltrain,37.342338,-121.914677,"59855","","","0","","America/Los_Angeles","2"
"70251","70251",College Park Caltrain,37.342384,-121.9146,"59855","","","0","","America/Los_Angeles","2"
"70322","70322",Gilroy Caltrain,37.003485,-121.566225,"59857","","","0","","America/Los_Angeles","1"
"70321","70321",Gilroy Caltrain,37.003538,-121.566088,"59857","","","0","","America/Los_Angeles","1"
"70101","70101",Hayward Park Caltrain,37.552938,-122.309338,"59854","","","0","","America/Los_Angeles","1"
"70102","70102",Hayward Park Caltrain,37.552994,-122.309608,"59854","","","0","","America/Los_Angeles","1"
"70111","70111",Hillsdale Caltrain,37.537868,-122.297349,"59854","","","0","","America/Los_Angeles","1"
"70112","70112",Hillsdale Caltrain,37.537814,-122.297461,"59854","","","0","","America/Los_Angeles","1"
"70231","70231",Lawrence Caltrain,37.370598,-121.997114,"59855","","","0","","America/Los_Angeles","1"
"70232","70232",Lawrence Caltrain,37.370484,-121.997135,"59855","","","0","","America/Los_Angeles","1"
"70161","70161",Menlo Park Caltrain,37.454856,-122.182297,"59852","","","0","","America/Los_Angeles","1"
"70162","70162",Menlo Park Caltrain,37.454745,-122.182405,"59852","","","0","","America/Los_Angeles","1"
"70062","70062",Millbrae Caltrain,37.599797,-122.386832,"59854","","","0","","America/Los_Angeles","1"
"70061","70061",Millbrae Caltrain,37.59988,-122.386647,"59854","","","0","","America/Los_Angeles","1"
"70302","70302",Morgan Hill Caltrain,37.129321,-121.650304,"59857","","","0","","America/Los_Angeles","1"
"70301","70301",Morgan Hill Caltrain,37.129363,-121.650244,"59857","","","0","","America/Los_Angeles","1"
"70211","70211",Mountain View Caltrain,37.394459,-122.075956,"59852","","","0","","America/Los_Angeles","1"
"70212","70212",Mountain View Caltrain,37.394402,-122.075994,"59852","","","0","","America/Los_Angeles","1"
"70172","70172",Palo Alto Caltrain,37.443405,-122.164697,"59852","","","0","","America/Los_Angeles","1"
"70171","70171",Palo Alto Caltrain,37.443475,-122.164614,"59852","","","0","","America/Los_Angeles","1"
"70142","70142",Redwood City Caltrain,37.486101,-122.232,"59854","","","0","","America/Los_Angeles","1"
"70141","70141",Redwood City Caltrain,37.486159,-122.231936,"59854","","","0","","America/Los_Angeles","1"
