service_id,date,exception_type
74732,20200217,1
74732,20200120,1
74732,20191129,1
75194,20191124,1
72981,20200217,2
72981,20200120,2
72981,20191129,2
75195,20191123,1
72982,20191123,2
72983,20191123,2
72981,20191128,2
72982,20191128,1
72981,20191225,2
72982,20191225,1
72981,20200101,2
72982,20200101,1
